id,icon_link,name
367,https://cdn-icons-png.flaticon.com/128/13507/13507820.png,Fishkeeping
368,https://cdn-icons-png.flaticon.com/128/4185/4185714.png,Learning
369,https://cdn-icons-png.flaticon.com/128/2906/2906496.png,Meditation
370,https://cdn-icons-png.flaticon.com/128/17103/17103439.png,Microscopy
371,https://cdn-icons-png.flaticon.com/128/4072/4072217.png,Reading
372,,Shortwave listening
373,,Aircraft spotting
374,,Amateur astronomy
375,https://cdn-icons-png.flaticon.com/128/4923/4923178.png,Benchmarking
376,,Bus spotting[22
377,https://cdn-icons-png.flaticon.com/128/5601/5601266.png,People-watching
378,,Satellite watching
379,,Trainspotting
380,https://cdn-icons-png.flaticon.com/128/12690/12690937.png,Whale watching
381,,Butterfly watching
382,,Gongoozling
383,,Hiking/backpacking
